prev2_op,prev1_op,curr_op,next1_op,next2_op,op1,op2,is_alu,is_branch,is_mem,mem_read,mem_write,has_imm,reg_dependency,t_states,diagnostic_label
NOP,NOP,RET,INC,MUL,,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
NOP,RET,INC,MUL,JZ,SI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
RET,INC,MUL,JZ,MUL,SP,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
INC,MUL,JZ,MUL,NOP,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,JZ,MUL,NOP,JMP,SP,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
JZ,MUL,NOP,JMP,MOV,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MUL,NOP,JMP,MOV,JMP,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
NOP,JMP,MOV,JMP,OR,BX,[DI],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
JMP,MOV,JMP,OR,JNE,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MOV,JMP,OR,JNE,DIV,DX,1234H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
JMP,OR,JNE,DIV,AND,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
OR,JNE,DIV,AND,TEST,BP,,1,0,0,0,0,0,0,120.0,ALU_HEAVY
JNE,DIV,AND,TEST,AND,SI,BX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DIV,AND,TEST,AND,CALL,CX,0001H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
AND,TEST,AND,CALL,INT,SI,1234H,1,0,0,0,0,1,0,2.0,ALU_OPTIMAL
TEST,AND,CALL,INT,AND,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,CALL,INT,AND,JZ,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CALL,INT,AND,JZ,INT,CX,AX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INT,AND,JZ,INT,SHL,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,JZ,INT,SHL,DEC,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JZ,INT,SHL,DEC,JNE,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INT,SHL,DEC,JNE,INC,DI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SHL,DEC,JNE,INC,INC,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,JNE,INC,INC,MOV,AX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JNE,INC,INC,MOV,MOV,CX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
INC,INC,MOV,MOV,SHL,[BX],BP,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
INC,MOV,MOV,SHL,AND,[SI],BX,0,0,1,0,1,0,0,8.0,MEMORY_BOUND
MOV,MOV,SHL,AND,JNE,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
MOV,SHL,AND,JNE,INC,CX,[BX],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
SHL,AND,JNE,INC,TEST,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,JNE,INC,TEST,XOR,SI,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JNE,INC,TEST,XOR,DIV,SI,00FFH,0,0,0,0,0,1,1,4.0,DATA_DEPENDENCY
INC,TEST,XOR,DIV,POP,[DI],SP,1,0,1,0,1,0,0,8.0,MEMORY_BOUND
TEST,XOR,DIV,POP,CALL,[DI],,1,0,1,1,0,0,1,126.0,MEMORY_BOUND
XOR,DIV,POP,CALL,POP,AX,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
DIV,POP,CALL,POP,MOV,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,CALL,POP,MOV,JMP,DI,,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
CALL,POP,MOV,JMP,SUB,BX,SI,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
POP,MOV,JMP,SUB,DEC,SHORT_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
MOV,JMP,SUB,DEC,DIV,CX,DX,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JMP,SUB,DEC,DIV,INT,BX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
SUB,DEC,DIV,INT,JZ,BX,,1,0,0,0,0,0,1,122.0,DATA_DEPENDENCY
DEC,DIV,INT,JZ,LEA,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DIV,INT,JZ,LEA,INT,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
INT,JZ,LEA,INT,LEA,BX,SP,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
JZ,LEA,INT,LEA,CMP,21H,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
LEA,INT,LEA,CMP,DEC,DI,[DI],0,0,1,1,0,0,0,6.0,MEMORY_BOUND
INT,LEA,CMP,DEC,XOR,AX,0001H,0,0,0,0,0,1,0,2.0,ALU_OPTIMAL
LEA,CMP,DEC,XOR,JNE,BP,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
CMP,DEC,XOR,JNE,DEC,SI,BP,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,XOR,JNE,DEC,SHR,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
XOR,JNE,DEC,SHR,AND,BX,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JNE,DEC,SHR,AND,CMP,,,1,0,0,0,0,0,0,2.0,ALU_OPTIMAL
DEC,SHR,AND,CMP,MOV,SP,[BX],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
SHR,AND,CMP,MOV,XOR,CX,DX,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
AND,CMP,MOV,XOR,LEA,DX,00FFH,0,0,0,0,0,1,1,4.0,DATA_DEPENDENCY
CMP,MOV,XOR,LEA,JMP,BP,[BP],1,0,1,1,0,0,0,6.0,MEMORY_BOUND
MOV,XOR,LEA,JMP,NOP,SP,DI,0,0,1,0,0,0,0,6.0,ALU_OPTIMAL
XOR,LEA,JMP,NOP,JMP,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
LEA,JMP,NOP,JMP,DEC,,,0,0,0,0,0,0,0,2.0,ALU_OPTIMAL
JMP,NOP,JMP,DEC,TEST,FAR_LABEL,,0,1,0,0,0,0,0,2.0,ALU_OPTIMAL
